VENDOR,BRAND,CATEGORY
6041161,CHANEL,BEAUTY
4412768,CALVINKLEIN,CLOTHES
6013105,CABERNET,CLOTHES
9514659,1928,ACCESSORIES
1116343,EUROITAL,CLOTHES
6062767,LISLI,CLOTHES
66561,ROUNDTREE&YORKE,CLOTHES
226176,NOFEAR,CLOTHES
4259203,LISLI,CLOTHES
9113491,ETERNIT,CLOTHES
7326340,LISLI,CLOTHES
5745232,POLOMEN,CLOTHES
11679,DESIGNERBLUE,CLOTHES
3916215,LISLI,CLOTHES
514761,REEBOK,SHOES
4016074,SAMSONITE,LUGGAGE
5016699,SPERRY,SHOES
16561,ROUNDTREE&YORKE,CLOTHES
7510902,SPERRY,SHOES
10903,PENOBSCO                        ,SHOES
13031,HUE/KAYS                        ,BEAUTY
13396,REACTION                        ,CLOTHES
60904,NATURALI                        ,SHOES
113645,LANCOME                         ,BEAUTY
313319,EYESHADO                        ,BEAUTY
1114936,NATURAL                         ,CLOTHES
2012863,HENSON-K                        ,BEAUTY
2017178,NOBLE EX                        ,CLOTHES
2067178,WESTPOIN                        ,CLOTHES
3313116,EMMA JAM                        ,CLOTHES
3626213,MILCO IN                        ,BEAUTY
4516339,CORTLAND                        ,BEAUTY
5011295,GREAT AM                        ,BEAUTY
5511283,CLINIQUE                        ,BEAUTY
5715232,POLO FAS                        ,CLOTHES
6016957,VANITY F                        ,BEAUTY
7016341,ROUNDTRE                        ,CLOTHES
9520439,DIM                             ,BEAUTY
