VENDOR,BRAND,CATEGORY
2219404,CREMIEUX                        ,CLOTHES
2512827,HARTMANN                        ,LUGGAGE
3513036,HUGO BOS                        ,CLOTHES
4913317,KIPPY'S                         ,CLOTHES
5611454,KAY UNGE                        ,CLOTHES
6916222,MARY FRA                        ,CLOTHES
6945292,GFT USA                         ,CLOTHES
7221456,PEERLESS                        ,CLOTHES
9713322,OLD GRIN                        ,CLOTHES
9716181,NOVAPPAR                        ,CLOTHES
16605,DANA BUC                        ,SHOES
16605,ELIE TAH                        ,CLOTHES
16605,TAHARI L                        ,BAGS
115362,RACQUET                         ,CLOTHES
1012863,HICKEY-F                        ,CLOTHES
2819403,TURNBURY                        ,CLOTHES
6935883,HART SCH                        ,CLOTHES
7035883,HART SCH                        ,CLOTHES
7045883,HART SCH                        ,CLOTHES
7055883,HART SCH                        ,CLOTHES
7095883,HART SCH                        ,CLOTHES
7211456,GREYLESS                        ,CLOTHES
7211456,PEERLESS                        ,FURNITURE
